SYSTEM,TAG NUMBER,DESCRIPTION,reduced_tag,reduced_desc,col,unit,comment,ENG UNIT,tag_desc_uom
TURBINE UNIT 1,10LCA30CP001.AV,PRESSURE OF CONDENSATE PUMPS DELIVERY LCA30CP001,LCA30CP001.AV,PRESSURE OF CONDENSATE PUMPS DELIVERY,LCA30CP001.AV_PRESSURE OF CONDENSATE PUMPS DELIVERY,1,12,barg,10LCA30CP001.AV_PRESSURE OF CONDENSATE PUMPS DELIVERY LCA30CP001_barg
TURBINE UNIT 1,10LCA31CG001.AV,POSITION OF CONDENSATE RECILCULATION CONTROL VALVE LCA31CG001,LCA31CG001.AV,POSITION OF CONDENSATE RECILCULATION CONTROL VALVE,LCA31CG001.AV_POSITION OF CONDENSATE RECILCULATION CONTROL VALVE,1,12,%,10LCA31CG001.AV_POSITION OF CONDENSATE RECILCULATION CONTROL VALVE LCA31CG001_%
TURBINE UNIT 1,10LCE10CG001.AV,GLAND STEAM TEMPERATURE CONTROL VALVE POSITION LCE10CG001,LCE10CG001.AV,GLAND STEAM TEMPERATURE CONTROL VALVE POSITION,LCE10CG001.AV_GLAND STEAM TEMPERATURE CONTROL VALVE POSITION,1,12,%,10LCE10CG001.AV_GLAND STEAM TEMPERATURE CONTROL VALVE POSITION LCE10CG001_%
TURBINE UNIT 1,10LCE40CG001.AV,BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION LCE40CG001XXX,LCE40CG001.AV,BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION,LCE40CG001.AV_BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION,1,12,%,10LCE40CG001.AV_BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION LCE40CG001XXX_%
TURBINE UNIT 1,10LCE40CG001X.AV,BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION LCE40CG001,LCE40CG001X.AV,BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION,LCE40CG001X.AV_BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION,1,12,%,10LCE40CG001X.AV_BYPASS STEAM TEMPERATURE CONTROL VALVE POSITION LCE40CG001_%
TURBINE UNIT 1,10LCE40CP001.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP001XXX,LCE40CP001.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP001.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP001.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP001XXX_barg
TURBINE UNIT 1,10LCE40CP001X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP001,LCE40CP001X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP001X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP001X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP001_barg
TURBINE UNIT 1,10LCE40CP002.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP002XXX,LCE40CP002.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP002.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP002.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP002XXX_barg
TURBINE UNIT 1,10LCE40CP002X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP002,LCE40CP002X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP002X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP002X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP002_barg
TURBINE UNIT 1,10LCE40CP003.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP003XXX,LCE40CP003.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP003.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP003.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP003XXX_barg
